      Time (SECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                   2 |                352 |                211 |                  3 | 
                   4 |                352 |                265 |                  3 | 
                   6 |                352 |                302 |                  3 | 
                   8 |                352 |                324 |                  3 | 
                  10 |                352 |                341 |                  3 | 
                  12 |                352 |                345 |                  3 | 
                  14 |                352 |                350 |                  3 | 
                  16 |                352 |                350 |                  3 | 
                  18 |                352 |                350 |                  3 | 
                  20 |                352 |                350 |                  3 | 
                  22 |                352 |                351 |                 21 | 
                  24 |                352 |                352 |                 56 | 
                  26 |                352 |                352 |                 56 | 
                  28 |                352 |                352 |                 74 | 
                  30 |                352 |                352 |                 74 | 
                  32 |                352 |                352 |                 74 | 
                  34 |                352 |                352 |                 74 | 
                  36 |                352 |                352 |                 74 | 
                  38 |                352 |                352 |                 74 | 
                  40 |                352 |                352 |                 74 | 
                  42 |                352 |                352 |                 74 | 
                  44 |                352 |                352 |                 74 | 
                  46 |                352 |                352 |                 74 | 
                  48 |                352 |                352 |                 75 | 
                  50 |                352 |                352 |                148 | 
                  52 |                352 |                352 |                148 | 
                  54 |                352 |                352 |                148 | 
                  56 |                352 |                352 |                148 | 
                  58 |                352 |                352 |                148 | 
                  60 |                352 |                352 |                148 | 
                  62 |                352 |                352 |                148 | 
                  64 |                352 |                352 |                148 | 
                  66 |                352 |                352 |                148 | 
                  68 |                352 |                352 |                148 | 
                  70 |                352 |                352 |                157 | 
                  72 |                352 |                352 |                157 | 
                  74 |                352 |                352 |                157 | 
                  76 |                352 |                352 |                157 | 
                  78 |                352 |                352 |                157 | 
                  80 |                352 |                352 |                157 | 
                  82 |                352 |                352 |                157 | 
                  84 |                352 |                352 |                157 | 
                  86 |                352 |                352 |                157 | 
                  88 |                352 |                352 |                157 | 
                  90 |                352 |                352 |                157 | 
                  92 |                352 |                352 |                192 | 
                  94 |                352 |                352 |                205 | 
                  96 |                352 |                352 |                205 | 
                  98 |                352 |                352 |                205 | 
                 100 |                352 |                352 |                205 | 
                 102 |                352 |                352 |                205 | 
                 104 |                352 |                352 |                206 | 
                 106 |                352 |                352 |                206 | 
                 108 |                352 |                352 |                206 | 
                 110 |                352 |                352 |                206 | 
                 112 |                352 |                352 |                206 | 
                 114 |                352 |                352 |                208 | 
                 116 |                352 |                352 |                208 | 
                 118 |                352 |                352 |                208 | 
                 120 |                352 |                352 |                208 | 
                 122 |                352 |                352 |                208 | 
                 124 |                352 |                352 |                208 | 
                 126 |                352 |                352 |                208 | 
                 128 |                352 |                352 |                208 | 
                 130 |                352 |                352 |                208 | 
                 132 |                352 |                352 |                208 | 
