      Time (SECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                   5 |                 92 |                 92 |                 32 | 
                  10 |                 92 |                 92 |                 57 | 
                  15 |                 92 |                 92 |                 67 | 
                  20 |                 92 |                 92 |                 71 | 
                  25 |                 92 |                 92 |                 77 | 
                  30 |                 92 |                 92 |                 86 | 
                  35 |                 92 |                 92 |                 89 | 
                  40 |                 92 |                 92 |                 90 | 
                  45 |                 92 |                 92 |                 90 | 
                  50 |                 92 |                 92 |                 90 | 
                  55 |                 92 |                 92 |                 91 | 
                  60 |                 92 |                 92 |                 92 | 
