Iterations: 20 
      populationSize |     numOfGenerations |        Max |        Min |    Average |     Rounds 
                1000 |                  500 |    8630 ms |       5 ms |    2238 ms |         30 
                1000 |                  600 |   12195 ms |       6 ms |    1536 ms |         25 
                1000 |                  700 |   33497 ms |       5 ms |   10076 ms |         44 
                1000 |                  800 |   54240 ms |       7 ms |   11444 ms |         41 
                1000 |                  900 |   40742 ms |       7 ms |    6843 ms |         30 
                1000 |                 1000 |   50363 ms |       4 ms |    6857 ms |         28 
                1000 |                 1100 |   83706 ms |       5 ms |   16451 ms |         35 
                1000 |                 1200 |   74856 ms |       8 ms |   17745 ms |         34 
                1000 |                 1300 |   29312 ms |       5 ms |    7324 ms |         25 
                1000 |                 1400 |  105286 ms |       5 ms |   10378 ms |         26 
                1000 |                 1500 |  155608 ms |       7 ms |   27629 ms |         34 
                1100 |                  500 |    6258 ms |       4 ms |    1215 ms |         24 
                1100 |                  600 |   14908 ms |       6 ms |    1974 ms |         25 
                1100 |                  700 |   20460 ms |       5 ms |    3580 ms |         27 
                1100 |                  800 |   52194 ms |       4 ms |    8062 ms |         32 
                1100 |                  900 |   28274 ms |       4 ms |    7415 ms |         28 
                1100 |                 1000 |   41445 ms |       3 ms |    9357 ms |         29 
                1100 |                 1100 |   25279 ms |       5 ms |    6444 ms |         25 
                1100 |                 1200 |   89826 ms |       4 ms |   16614 ms |         31 
                1100 |                 1300 |  139914 ms |       5 ms |   35055 ms |         40 
                1100 |                 1400 |   81525 ms |       5 ms |   14337 ms |         27 
                1100 |                 1500 |   46948 ms |       2 ms |    7053 ms |         23 
                1200 |                  500 |   12482 ms |       7 ms |    1881 ms |         26 
                1200 |                  600 |   31996 ms |       8 ms |    6954 ms |         35 
                1200 |                  700 |   47854 ms |       7 ms |    5991 ms |         30 
                1200 |                  800 |   31209 ms |       9 ms |    6417 ms |         28 
                1200 |                  900 |   19803 ms |      10 ms |    4056 ms |         24 
                1200 |                 1000 |   73217 ms |       6 ms |    8569 ms |         27 
                1200 |                 1100 |   88716 ms |       4 ms |    8888 ms |         26 
                1200 |                 1200 |  105241 ms |       6 ms |   12784 ms |         27 
                1200 |                 1300 |   41464 ms |       3 ms |   13891 ms |         26 
                1200 |                 1400 |   48365 ms |       8 ms |    7642 ms |         23 
                1200 |                 1500 |  165689 ms |       8 ms |   31277 ms |         31 
                1300 |                  500 |   21418 ms |       8 ms |    3581 ms |         29 
                1300 |                  600 |   10835 ms |      11 ms |    3176 ms |         26 
                1300 |                  700 |   41785 ms |       6 ms |    5609 ms |         28 
