      Time (SECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                   2 |                684 |                300 |                  9 | 
                   4 |                716 |                465 |                 25 | 
                   6 |                723 |                567 |                 39 | 
                   8 |                724 |                634 |                 56 | 
                  10 |                724 |                675 |                 71 | 
                  12 |                724 |                689 |                 89 | 
                  14 |                724 |                704 |                106 | 
                  16 |                724 |                709 |                123 | 
                  18 |                724 |                712 |                137 | 
                  20 |                724 |                717 |                150 | 
                  22 |                724 |                717 |                161 | 
                  24 |                724 |                720 |                182 | 
                  26 |                724 |                722 |                194 | 
                  28 |                724 |                722 |                208 | 
                  30 |                724 |                723 |                217 | 
                  32 |                724 |                723 |                228 | 
                  34 |                724 |                723 |                240 | 
                  36 |                724 |                724 |                254 | 
                  38 |                724 |                724 |                265 | 
                  40 |                724 |                724 |                282 | 
                  42 |                724 |                724 |                291 | 
                  44 |                724 |                724 |                296 | 
                  46 |                724 |                724 |                302 | 
                  48 |                724 |                724 |                308 | 
                  50 |                724 |                724 |                318 | 
                  52 |                724 |                724 |                325 | 
                  54 |                724 |                724 |                335 | 
                  56 |                724 |                724 |                350 | 
                  58 |                724 |                724 |                360 | 
                  60 |                724 |                724 |                366 | 
                  62 |                724 |                724 |                373 | 
                  64 |                724 |                724 |                384 | 
                  66 |                724 |                724 |                393 | 
                  68 |                724 |                724 |                397 | 
                  70 |                724 |                724 |                406 | 
                  72 |                724 |                724 |                408 | 
                  74 |                724 |                724 |                415 | 
                  76 |                724 |                724 |                424 | 
                  78 |                724 |                724 |                431 | 
                  80 |                724 |                724 |                438 | 
                  82 |                724 |                724 |                443 | 
                  84 |                724 |                724 |                452 | 
                  86 |                724 |                724 |                454 | 
                  88 |                724 |                724 |                461 | 
                  90 |                724 |                724 |                465 | 
                  92 |                724 |                724 |                471 | 
                  94 |                724 |                724 |                480 | 
                  96 |                724 |                724 |                487 | 
                  98 |                724 |                724 |                493 | 
                 100 |                724 |                724 |                500 | 
                 102 |                724 |                724 |                507 | 
                 104 |                724 |                724 |                512 | 
                 106 |                724 |                724 |                518 | 
                 108 |                724 |                724 |                520 | 
                 110 |                724 |                724 |                528 | 
                 112 |                724 |                724 |                534 | 
                 114 |                724 |                724 |                539 | 
                 116 |                724 |                724 |                546 | 
                 118 |                724 |                724 |                551 | 
                 120 |                724 |                724 |                558 | 
                 122 |                724 |                724 |                564 | 
                 124 |                724 |                724 |                567 | 
                 126 |                724 |                724 |                570 | 
                 128 |                724 |                724 |                577 | 
                 130 |                724 |                724 |                581 | 
                 132 |                724 |                724 |                583 | 
                 134 |                724 |                724 |                585 | 
                 136 |                724 |                724 |                588 | 
                 138 |                724 |                724 |                590 | 
                 140 |                724 |                724 |                598 | 
                 142 |                724 |                724 |                599 | 
                 144 |                724 |                724 |                600 | 
                 146 |                724 |                724 |                603 | 
                 148 |                724 |                724 |                610 | 
                 150 |                724 |                724 |                613 | 
                 152 |                724 |                724 |                614 | 
                 154 |                724 |                724 |                617 | 
                 156 |                724 |                724 |                621 | 
                 158 |                724 |                724 |                622 | 
                 160 |                724 |                724 |                623 | 
                 162 |                724 |                724 |                625 | 
                 164 |                724 |                724 |                629 | 
                 166 |                724 |                724 |                634 | 
                 168 |                724 |                724 |                634 | 
                 170 |                724 |                724 |                634 | 
                 172 |                724 |                724 |                637 | 
                 174 |                724 |                724 |                640 | 
                 176 |                724 |                724 |                641 | 
                 178 |                724 |                724 |                642 | 
                 180 |                724 |                724 |                645 | 
                 182 |                724 |                724 |                646 | 
                 184 |                724 |                724 |                649 | 
                 186 |                724 |                724 |                649 | 
                 188 |                724 |                724 |                652 | 
                 190 |                724 |                724 |                653 | 
                 192 |                724 |                724 |                653 | 
                 194 |                724 |                724 |                655 | 
                 196 |                724 |                724 |                656 | 
                 198 |                724 |                724 |                658 | 
                 200 |                724 |                724 |                660 | 
                 202 |                724 |                724 |                662 | 
                 204 |                724 |                724 |                664 | 
                 206 |                724 |                724 |                665 | 
                 208 |                724 |                724 |                666 | 
                 210 |                724 |                724 |                666 | 
                 212 |                724 |                724 |                667 | 
                 214 |                724 |                724 |                669 | 
                 216 |                724 |                724 |                670 | 
                 218 |                724 |                724 |                671 | 
                 220 |                724 |                724 |                673 | 
                 222 |                724 |                724 |                674 | 
                 224 |                724 |                724 |                676 | 
                 226 |                724 |                724 |                676 | 
                 228 |                724 |                724 |                681 | 
                 230 |                724 |                724 |                682 | 
                 232 |                724 |                724 |                682 | 
                 234 |                724 |                724 |                684 | 
                 236 |                724 |                724 |                686 | 
                 238 |                724 |                724 |                686 | 
                 240 |                724 |                724 |                686 | 
                 242 |                724 |                724 |                687 | 
                 244 |                724 |                724 |                687 | 
                 246 |                724 |                724 |                687 | 
                 248 |                724 |                724 |                687 | 
                 250 |                724 |                724 |                689 | 
                 252 |                724 |                724 |                690 | 
                 254 |                724 |                724 |                690 | 
                 256 |                724 |                724 |                691 | 
                 258 |                724 |                724 |                692 | 
                 260 |                724 |                724 |                693 | 
                 262 |                724 |                724 |                694 | 
                 264 |                724 |                724 |                694 | 
                 266 |                724 |                724 |                697 | 
                 268 |                724 |                724 |                699 | 
                 270 |                724 |                724 |                699 | 
                 272 |                724 |                724 |                701 | 
                 274 |                724 |                724 |                701 | 
                 276 |                724 |                724 |                703 | 
                 278 |                724 |                724 |                703 | 
                 280 |                724 |                724 |                703 | 
                 282 |                724 |                724 |                703 | 
                 284 |                724 |                724 |                703 | 
                 286 |                724 |                724 |                703 | 
                 288 |                724 |                724 |                703 | 
                 290 |                724 |                724 |                703 | 
                 292 |                724 |                724 |                703 | 
                 294 |                724 |                724 |                703 | 
                 296 |                724 |                724 |                703 | 
                 298 |                724 |                724 |                704 | 
                 300 |                724 |                724 |                705 | 
                 302 |                724 |                724 |                706 | 
                 304 |                724 |                724 |                706 | 
                 306 |                724 |                724 |                706 | 
                 308 |                724 |                724 |                707 | 
                 310 |                724 |                724 |                707 | 
                 312 |                724 |                724 |                707 | 
                 314 |                724 |                724 |                707 | 
                 316 |                724 |                724 |                707 | 
                 318 |                724 |                724 |                707 | 
                 320 |                724 |                724 |                707 | 
                 322 |                724 |                724 |                707 | 
                 324 |                724 |                724 |                708 | 
                 326 |                724 |                724 |                708 | 
                 328 |                724 |                724 |                708 | 
                 330 |                724 |                724 |                708 | 
                 332 |                724 |                724 |                708 | 
                 334 |                724 |                724 |                708 | 
                 336 |                724 |                724 |                708 | 
                 338 |                724 |                724 |                709 | 
                 340 |                724 |                724 |                709 | 
                 342 |                724 |                724 |                709 | 
                 344 |                724 |                724 |                710 | 
                 346 |                724 |                724 |                710 | 
                 348 |                724 |                724 |                710 | 
                 350 |                724 |                724 |                710 | 
                 352 |                724 |                724 |                711 | 
                 354 |                724 |                724 |                711 | 
                 356 |                724 |                724 |                711 | 
                 358 |                724 |                724 |                711 | 
                 360 |                724 |                724 |                711 | 
                 362 |                724 |                724 |                711 | 
                 364 |                724 |                724 |                713 | 
                 366 |                724 |                724 |                713 | 
                 368 |                724 |                724 |                713 | 
                 370 |                724 |                724 |                713 | 
                 372 |                724 |                724 |                713 | 
                 374 |                724 |                724 |                713 | 
                 376 |                724 |                724 |                713 | 
                 378 |                724 |                724 |                713 | 
                 380 |                724 |                724 |                713 | 
                 382 |                724 |                724 |                713 | 
                 384 |                724 |                724 |                714 | 
                 386 |                724 |                724 |                714 | 
                 388 |                724 |                724 |                715 | 
                 390 |                724 |                724 |                715 | 
                 392 |                724 |                724 |                715 | 
                 394 |                724 |                724 |                715 | 
                 396 |                724 |                724 |                715 | 
                 398 |                724 |                724 |                715 | 
                 400 |                724 |                724 |                715 | 
                 402 |                724 |                724 |                715 | 
                 404 |                724 |                724 |                715 | 
                 406 |                724 |                724 |                715 | 
                 408 |                724 |                724 |                715 | 
                 410 |                724 |                724 |                716 | 
                 412 |                724 |                724 |                717 | 
                 414 |                724 |                724 |                717 | 
                 416 |                724 |                724 |                717 | 
                 418 |                724 |                724 |                717 | 
                 420 |                724 |                724 |                717 | 
                 422 |                724 |                724 |                717 | 
                 424 |                724 |                724 |                717 | 
                 426 |                724 |                724 |                717 | 
                 428 |                724 |                724 |                717 | 
                 430 |                724 |                724 |                718 | 
                 432 |                724 |                724 |                719 | 
                 434 |                724 |                724 |                719 | 
                 436 |                724 |                724 |                719 | 
                 438 |                724 |                724 |                719 | 
                 440 |                724 |                724 |                719 | 
                 442 |                724 |                724 |                719 | 
                 444 |                724 |                724 |                719 | 
                 446 |                724 |                724 |                720 | 
                 448 |                724 |                724 |                720 | 
                 450 |                724 |                724 |                720 | 
                 452 |                724 |                724 |                720 | 
                 454 |                724 |                724 |                720 | 
                 456 |                724 |                724 |                720 | 
                 458 |                724 |                724 |                720 | 
                 460 |                724 |                724 |                721 | 
                 462 |                724 |                724 |                721 | 
                 464 |                724 |                724 |                721 | 
                 466 |                724 |                724 |                721 | 
                 468 |                724 |                724 |                721 | 
                 470 |                724 |                724 |                721 | 
                 472 |                724 |                724 |                721 | 
                 474 |                724 |                724 |                722 | 
                 476 |                724 |                724 |                722 | 
                 478 |                724 |                724 |                722 | 
                 480 |                724 |                724 |                722 | 
                 482 |                724 |                724 |                723 | 
                 484 |                724 |                724 |                723 | 
                 486 |                724 |                724 |                723 | 
                 488 |                724 |                724 |                723 | 
                 490 |                724 |                724 |                723 | 
                 492 |                724 |                724 |                723 | 
                 494 |                724 |                724 |                723 | 
                 496 |                724 |                724 |                723 | 
                 498 |                724 |                724 |                723 | 
                 500 |                724 |                724 |                723 | 
                 502 |                724 |                724 |                723 | 
                 504 |                724 |                724 |                723 | 
                 506 |                724 |                724 |                723 | 
                 508 |                724 |                724 |                723 | 
                 510 |                724 |                724 |                723 | 
                 512 |                724 |                724 |                723 | 
                 514 |                724 |                724 |                723 | 
                 516 |                724 |                724 |                723 | 
                 518 |                724 |                724 |                723 | 
                 520 |                724 |                724 |                723 | 
