 Time (MILLISECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                 100 |                  2 |                  2 |                  0 | 
                 200 |                 37 |                 24 |                  1 | 
                 300 |                 88 |                 33 |                  7 | 
                 400 |                 92 |                 33 |                 15 | 
                 500 |                 92 |                 35 |                 24 | 
                 600 |                 92 |                 35 |                 31 | 
                 700 |                 92 |                 43 |                 41 | 
                 800 |                 92 |                 43 |                 48 | 
                 900 |                 92 |                 45 |                 55 | 
                1000 |                 92 |                 45 |                 58 | 
                1100 |                 92 |                 62 |                 63 | 
                1200 |                 92 |                 66 |                 66 | 
                1300 |                 92 |                 67 |                 68 | 
                1400 |                 92 |                 69 |                 72 | 
                1500 |                 92 |                 69 |                 75 | 
                1600 |                 92 |                 71 |                 76 | 
                1700 |                 92 |                 71 |                 78 | 
                1800 |                 92 |                 72 |                 79 | 
                1900 |                 92 |                 72 |                 81 | 
                2000 |                 92 |                 80 |                 84 | 
                2100 |                 92 |                 81 |                 86 | 
                2200 |                 92 |                 81 |                 86 | 
                2300 |                 92 |                 91 |                 87 | 
                2400 |                 92 |                 91 |                 87 | 
                2500 |                 92 |                 91 |                 88 | 
                2600 |                 92 |                 91 |                 89 | 
                2700 |                 92 |                 91 |                 89 | 
                2800 |                 92 |                 91 |                 89 | 
                2900 |                 92 |                 91 |                 89 | 
                3000 |                 92 |                 91 |                 91 | 
                3100 |                 92 |                 91 |                 91 | 
                3200 |                 92 |                 91 |                 92 | 
                3300 |                 92 |                 91 |                 92 | 
                3400 |                 92 |                 91 |                 92 | 
                3500 |                 92 |                 91 |                 92 | 
                3600 |                 92 |                 91 |                 92 | 
                3700 |                 92 |                 91 |                 92 | 
                3800 |                 92 |                 91 |                 92 | 
                3900 |                 92 |                 91 |                 92 | 
                4000 |                 92 |                 91 |                 92 | 
                4100 |                 92 |                 91 |                 92 | 
                4200 |                 92 |                 91 |                 92 | 
                4300 |                 92 |                 91 |                 92 | 
                4400 |                 92 |                 91 |                 92 | 
                4500 |                 92 |                 91 |                 92 | 
                4600 |                 92 |                 91 |                 92 | 
                4700 |                 92 |                 91 |                 92 | 
                4800 |                 92 |                 91 |                 92 | 
                4900 |                 92 |                 91 |                 92 | 
                5000 |                 92 |                 91 |                 92 | 
                5100 |                 92 |                 91 |                 92 | 
                5200 |                 92 |                 91 |                 92 | 
                5300 |                 92 |                 91 |                 92 | 
                5400 |                 92 |                 92 |                 92 | 
