      Time (SECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                   1 |                 92 |                 72 |                  7 | 
                   2 |                 92 |                 83 |                 16 | 
                   3 |                 92 |                 87 |                 21 | 
                   4 |                 92 |                 91 |                 28 | 
                   5 |                 92 |                 91 |                 33 | 
                   6 |                 92 |                 92 |                 38 | 
                   7 |                 92 |                 92 |                 40 | 
                   8 |                 92 |                 92 |                 48 | 
                   9 |                 92 |                 92 |                 53 | 
                  10 |                 92 |                 92 |                 56 | 
                  11 |                 92 |                 92 |                 60 | 
                  12 |                 92 |                 92 |                 61 | 
                  13 |                 92 |                 92 |                 64 | 
                  14 |                 92 |                 92 |                 69 | 
                  15 |                 92 |                 92 |                 72 | 
                  16 |                 92 |                 92 |                 77 | 
                  17 |                 92 |                 92 |                 80 | 
                  18 |                 92 |                 92 |                 80 | 
                  19 |                 92 |                 92 |                 80 | 
                  20 |                 92 |                 92 |                 82 | 
                  21 |                 92 |                 92 |                 83 | 
                  22 |                 92 |                 92 |                 83 | 
                  23 |                 92 |                 92 |                 83 | 
                  24 |                 92 |                 92 |                 85 | 
                  25 |                 92 |                 92 |                 85 | 
                  26 |                 92 |                 92 |                 88 | 
                  27 |                 92 |                 92 |                 88 | 
                  28 |                 92 |                 92 |                 88 | 
                  29 |                 92 |                 92 |                 89 | 
                  30 |                 92 |                 92 |                 89 | 
                  31 |                 92 |                 92 |                 89 | 
                  32 |                 92 |                 92 |                 89 | 
                  33 |                 92 |                 92 |                 90 | 
                  34 |                 92 |                 92 |                 90 | 
                  35 |                 92 |                 92 |                 90 | 
                  36 |                 92 |                 92 |                 90 | 
                  37 |                 92 |                 92 |                 90 | 
                  38 |                 92 |                 92 |                 90 | 
                  39 |                 92 |                 92 |                 91 | 
                  40 |                 92 |                 92 |                 91 | 
                  41 |                 92 |                 92 |                 91 | 
                  42 |                 92 |                 92 |                 91 | 
                  43 |                 92 |                 92 |                 91 | 
                  44 |                 92 |                 92 |                 91 | 
                  45 |                 92 |                 92 |                 91 | 
                  46 |                 92 |                 92 |                 91 | 
                  47 |                 92 |                 92 |                 91 | 
                  48 |                 92 |                 92 |                 91 | 
                  49 |                 92 |                 92 |                 91 | 
                  50 |                 92 |                 92 |                 91 | 
                  51 |                 92 |                 92 |                 91 | 
                  52 |                 92 |                 92 |                 91 | 
                  53 |                 92 |                 92 |                 91 | 
                  54 |                 92 |                 92 |                 91 | 
                  55 |                 92 |                 92 |                 91 | 
                  56 |                 92 |                 92 |                 91 | 
                  57 |                 92 |                 92 |                 91 | 
                  58 |                 92 |                 92 |                 91 | 
                  59 |                 92 |                 92 |                 91 | 
                  60 |                 92 |                 92 |                 91 | 
                  61 |                 92 |                 92 |                 91 | 
                  62 |                 92 |                 92 |                 91 | 
                  63 |                 92 |                 92 |                 91 | 
                  64 |                 92 |                 92 |                 91 | 
                  65 |                 92 |                 92 |                 91 | 
                  66 |                 92 |                 92 |                 91 | 
                  67 |                 92 |                 92 |                 91 | 
                  68 |                 92 |                 92 |                 91 | 
                  69 |                 92 |                 92 |                 92 | 
