 Time (MILLISECONDS) |       HillClimbing | SimulatedAnnealing |   GeneticAlgorithm | 
                   0 |                  0 |                  0 |                  0 | 
                   5 |                 11 |                  4 |                  1 | 
                  10 |                 12 |                  7 |                  1 | 
                  15 |                 12 |                 12 |                  2 | 
                  20 |                 12 |                 12 |                  3 | 
                  25 |                 12 |                 12 |                  3 | 
                  30 |                 12 |                 12 |                  4 | 
                  35 |                 12 |                 12 |                  4 | 
                  40 |                 12 |                 12 |                  5 | 
                  45 |                 12 |                 12 |                  6 | 
                  50 |                 12 |                 12 |                  7 | 
                  55 |                 12 |                 12 |                  7 | 
                  60 |                 12 |                 12 |                  7 | 
                  65 |                 12 |                 12 |                  7 | 
                  70 |                 12 |                 12 |                  7 | 
                  75 |                 12 |                 12 |                  8 | 
                  80 |                 12 |                 12 |                  8 | 
                  85 |                 12 |                 12 |                  9 | 
                  90 |                 12 |                 12 |                  9 | 
                  95 |                 12 |                 12 |                  9 | 
                 100 |                 12 |                 12 |                  9 | 
                 105 |                 12 |                 12 |                  9 | 
                 110 |                 12 |                 12 |                  9 | 
                 115 |                 12 |                 12 |                 10 | 
                 120 |                 12 |                 12 |                 10 | 
                 125 |                 12 |                 12 |                 10 | 
                 130 |                 12 |                 12 |                 10 | 
                 135 |                 12 |                 12 |                 10 | 
                 140 |                 12 |                 12 |                 10 | 
                 145 |                 12 |                 12 |                 10 | 
                 150 |                 12 |                 12 |                 11 | 
                 155 |                 12 |                 12 |                 11 | 
                 160 |                 12 |                 12 |                 11 | 
                 165 |                 12 |                 12 |                 11 | 
                 170 |                 12 |                 12 |                 11 | 
                 175 |                 12 |                 12 |                 12 | 
